"ID";"DATE";"PRECIPITATION";"WINDSPEED";"SNOW";"PRESSURE";"TEMP_MAX";"TEMP_MIN";"TEMP_AVG";"TOTAL_SUNSHINE";"GUST";"WINDDIR";"LOCATION_ID"
112;"2015-04-22";0.0;14.0;0.0;1025.9;14.5;4.5;8.7;402;0.0;0;1
113;"2015-04-23";0.0;8.0;0.0;1018.4;15.9;4.9;9.2;471;0.0;0;1
114;"2015-04-24";0.0;9.0;0.0;1010.4;19.8;3.4;11.6;604;0.0;0;1
115;"2015-04-25";5.1;12.0;0.0;1005.5;14.4;9.0;11.8;3;0.0;0;1
116;"2015-04-26";5.1;12.0;0.0;1006.3;13.8;7.0;9.5;5;0.0;0;1
117;"2015-04-27";0.0;14.0;0.0;1008.5;12.2;0.3;7.5;391;0.0;0;1
118;"2015-04-28";4.0;9.0;0.0;1013.9;10.9;-1.7;4.3;459;0.0;0;1
119;"2015-04-29";2.1;15.0;0.0;1015.1;13.7;1.0;8.7;470;0.0;0;1
120;"2015-04-30";1.7;13.0;0.0;1009.6;12.7;3.7;8.3;359;0.0;0;1
121;"2015-05-01";0.2;11.0;0.0;1007.6;11.9;1.6;7.2;356;0.0;0;1
122;"2015-05-02";0.0;8.0;0.0;1011.0;14.2;-0.5;7.5;578;0.0;0;1
123;"2015-05-03";1.7;16.0;0.0;1003.1;18.6;4.5;12.3;311;0.0;0;1
124;"2015-05-04";4.0;15.0;0.0;1004.7;19.5;10.9;15.0;313;0.0;0;1
125;"2015-05-05";12.2;22.0;0.0;998.8;24.1;8.8;15.8;423;0.0;0;1
126;"2015-05-06";2.5;20.0;0.0;1007.7;16.7;8.2;11.9;494;0.0;0;1
127;"2015-05-07";1.5;18.0;0.0;1014.0;15.4;7.4;11.4;410;0.0;0;1
128;"2015-05-08";0.7;7.0;0.0;1015.2;18.0;6.9;12.6;165;0.0;0;1
129;"2015-05-09";0.7;19.0;0.0;1013.3;16.6;9.3;13.0;89;0.0;0;1
130;"2015-05-10";0.0;13.0;0.0;1023.8;17.1;8.3;12.0;517;0.0;0;1
131;"2015-05-11";0.0;13.0;0.0;1019.3;25.2;9.2;17.3;617;0.0;0;1
132;"2015-05-12";0.0;12.0;0.0;1014.8;20.0;9.0;14.1;226;0.0;0;1
133;"2015-05-13";0.0;15.0;0.0;1016.3;16.7;7.7;11.8;515;0.0;0;1
134;"2015-05-14";0.0;10.0;0.0;1013.1;13.1;4.7;9.7;33;0.0;0;1
135;"2015-05-15";0.0;10.0;0.0;1017.0;14.4;2.1;8.2;594;0.0;0;1
136;"2015-05-16";0.4;14.0;0.0;1019.7;13.7;2.3;8.1;92;0.0;0;1
137;"2015-05-17";0.0;15.0;0.0;1021.3;15.0;5.1;10.5;317;0.0;0;1
